name,kategori,harga,toko,alamat,kontak,gambar
CRESSI Fin Pro Star,Fins,1195000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/09/WhatsApp-Image-2024-06-21-at-11.50.29_286cf9ca-600x600.jpg
LEADERFINS Long Fins Forza Epoxy Ice Fiber Glass,Fins,3270000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2024/09/WhatsApp-Image-2024-09-22-at-15.45.30_77b05837-600x600.jpg
PROBLUE Fin Full Foot Tiara 2,Fins,668000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/11/F-760-BK-R_problue_diving.jpg
BEUCHAT Dots Neoprene Gloves,Gloves,253000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-02-at-15.40.12_375faf15-600x600.jpg
SCUBAPRO Tropic Dive Glove 1.5 mm,Gloves,900000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/09/1098162_primary-600x600.webp
IST Amara Leather Glove 2 mm,Gloves,150000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/09/S900-08-600x600.jpg
BEUCHAT Rocksea Pasific Jacket + Long John,Wetsuit,6636000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/11/rocksea-pacific-1-1-600x600.jpg
"CRESSI Wetsuit Endurance 5mm, Man",Wetsuit,2410000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/09/ur7s4sjxxzpkxjnfhhlv-600x600.webp
IST Long Rash Guard Dive Skin,Wetsuit,338000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2024/07/ds20b_2_ai6chy.jpg
BEUCHAT Marlin Sock 2 mm,Socks,566000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2024/07/fc5f78ad-453f-4ee4-957f-22e6ae2f8b13.jpg
BRICA B-Pro 5 Alpha Edition 4K Mark III S (AE3S) – Black,Camera,1399000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/09/a30efa4c-99da-4723-ae10-725909d4f602-1.jpg
Aquatec vortex fin,Fins,1188000,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/scubafinfn-6003-1487465995-thumbnail.resized.jpg?resize=300%2C300&ssl=1
Aropec Open Pocket Plastic Fin,Fins,1485000,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/F-L168B-BU.jpg?resize=300%2C300&ssl=1
Warwolf Jet Fin White,Fins,2475000,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2021/01/scuba_aquatec_-gosportfin_fn-580_4.jpg?resize=450%2C410&ssl=1
Aquatec mask 355N,Mask,475200,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/scubamaskmk-3551-1487468462-thumbnail.jpg?resize=300%2C300&ssl=1
Aropec mask M2CD04,Mask,376200,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/329995264_dbfde50f-d764-4898-9f77-c3b120e48dd1_1728_1728.jpg?resize=200%2C200&ssl=1
Aquatec Mask 500,Mask,425700,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/34020198_f23e3e80-93d6-4bee-ada5-165312124f35_800_800.jpg?resize=200%2C200&ssl=1
Rubber Snorkeling Fin Green,Fins,643500,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/03/F-JS802-GN.jpg?fit=300%2C300&ssl=1
Aqua-Lumen 3860,Others,1782000,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/divelightled-38601-1487154870-thumbnail.jpg?resize=300%2C300&ssl=1
Aquatec 5mm hard sole boot,Boots,782100,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/img1966-1550292452-thumbnail.jpg?fit=300%2C300&ssl=1
Aropec 5mm boot,Boots,683100,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/bt-50u3l-1497324341-thumbnail.jpg.png?fit=300%2C300&ssl=1
Speeds Snorkeling Set,Snorkel,287100,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/12/speeds_speeds_alat_selam_snorkling_p0610_full03_cutnkqtr.jpg?fit=800%2C800&ssl=1
Aropec Black Snorkel,Snorkel,198000,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/sc-1v-u137-tpr1-1497332764-thumbnail.jpg.png?resize=300%2C300&ssl=1
Aquatec Snorkel 400,Snorkel,257400,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/scubasnorklesn-4001-1487595359-thumbnail.jpg?resize=300%2C300&ssl=1
Weight belt w/ SS buckle,Others,198000,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/scubaweightbeltwb-2005-1497083276-thumbnail.jpg?resize=300%2C300&ssl=1
Aropec mask M2HF08,Mask,455400,Dive Hub,"Jl. Bypass Ngurah Rai No.376, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",0877-8899-0006,https://i0.wp.com/divehub.id/wp-content/uploads/2020/04/M2-HF08-BK-BU.jpg?resize=300%2C300&ssl=1
UP1521QB Serene Adult Travel Set,Snorkel,1470000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/up1521qb-serene-adult-travel-set/
UP3521QB Visio Tri Ex Adult Travel Set,Snorkel,1640000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/up3521qb-visio-tri-ex-adult-travel-set/
UP0201 Mini Kleio Hyperdry Youth Travel Set,Snorkel,1160000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/up0201-mini-kleio-hyperdry-youth-travel-set/
UP0101 Platina Hyperdry Adult Travel Set,Snorkel,1310000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/up0101-platina-hyperdry-adult-travel-set/
UP2521B Powerview Dry Set,Snorkel,1640000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/up2521b-powerview-dry-set/
UC3125PQB Visio Tri-Ex Adult Combo,Snorkel,1030000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc3125pqb-visio-tri-ex-adult-combo/
UC1625PQB Serene Adult Combo,Snorkel,941000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc1625pqb-serene-adult-combo/
UC2112P Panthes,Snorkel,693000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc2112p-panthes/
UC0110 KLEIO ADULT COMBO,Snorkel,644000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc0110-kleio-adult-combo/
UC0106 X-PLORE ADULT COMBO,Snorkel,644000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc0106-x-plore-adult-combo/
UC2425P Powerview Adult Dry Combo,Snorkel,990000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc2425p-powerview-adult-dry-combo/
UC2425PMQB Powerview Adult Dry Combo Mirror,Snorkel,1310000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc2425pmqb-powerview-adult-dry-combo-mirror/
UC1625MQB Serene Adult Combo Mirror,Snorkel,1310000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc1625mqb-serene-adult-combo-mirror/
UC7519P Splendive Combo,Snorkel,974000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc7519p-splendive-combo/
UC5019P Liberator Combo,Snorkel,891000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc5019p-liberator-combo/
UC3325P Imprex 3-D Dry Combo,Snorkel,1060000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc3325p-imprex-3-d-dry-combo/
UC0211P KLEIO MINI FIT COMBO - Clear Blue (CB),Snorkel,858000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc0211p-kleio-mini-fit-combo/
UC2022P Mini-Kleio Dry Combo,Snorkel,957000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/uc2022p-mini-kleio-dry-combo/
BEUCHAT Snorkel Spy,Snorkel,698000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/11/WhatsApp-Image-2024-06-20-at-13.12.19_d20ce999.jpg
BEUCHAT Snorkel Aktiva Tubair,Snorkel,598000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/11/WhatsApp-Image-2024-06-20-at-12.41.08_6d228569.jpg
TUSA Fin Liberator X-Ten,Fins,908000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/09/imagefly-9.jpeg
TL-0001 Dive Light Wide,Aksesoris,1590000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/tl-0001-dive-light-wide/
TC-752 Knife Attachment,Aksesoris,330000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/tc-752-knife-attachment/
SV-4500-Y Adult Vest,Aksesoris,908000,Saranabahari,"Jalan Sekar Waru No.1, Sanur",0813-3795-0505,https://saranabahari.com/product/sv-4500-adult-vest/
